,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
67,"7, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.10968,101.6653807,ROOFTOP,ChIJAQDAtStKzDERH_KXp7vMzNk,"establishment,food,point_of_interest,restaurant,shopping_mall",59200,Nexus Bangsar South[55],1,OK
68,,,,,,,,The Sphere[56],0,ZERO_RESULTS
69,"Jln Pudu, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1375035,101.7134075,GEOMETRIC_CENTER,ChIJZe3XESQ2zDER1I8jS7P4HJk,"establishment,point_of_interest,shopping_mall",55100,Pudu Plaza[57],1,OK
70,"PUDU SENTRAL, 12, Jln Pudu, City Centre, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1456853,101.7006055,ROOFTOP,ChIJm5FoTNFJzDER2-pitV9m-e4,premise,55100,Pudu Sentral,1,OK
71,"2, Jalan 1/125e, Taman Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0827782,101.7024706,ROOFTOP,ChIJ14mYXXdKzDERq3Rr43idU3k,"establishment,point_of_interest,shopping_mall",57100,Plaza Salak Park[58],1,OK
72,"Jln Dutamas 1, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1696701,101.6683503,GEOMETRIC_CENTER,ChIJswbvx11IzDERS1-gT_4eENQ,"establishment,point_of_interest,shopping_mall",50480,D'Immersione Avenue[59] (Opening in 2023),1,OK
73,"60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1636367,101.6569965,ROOFTOP,ChIJQdVhI_dIzDERjqhpE-AGlew,"establishment,point_of_interest,shopping_mall",50480,Hartamas Shopping Centre[60],1,OK
74,"2, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1654103,101.6516822,ROOFTOP,ChIJ1_6OgcWDt4cRRtLBkclRW_o,"establishment,point_of_interest,shopping_mall",50480,Plaza Mont Kiara[61],1,OK
75,"1, Jln Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1711671,101.6662111,ROOFTOP,ChIJIVqWDl5IzDERNCOhnX8t_NU,"establishment,point_of_interest,shopping_mall",50480,Publika Shopping Gallery[62],1,OK
76,,,,,,,,United Point[63],0,ZERO_RESULTS
77,"Solaris Parq, Jln Dutamas 1, Solaris On The Park, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1707573,101.6687072,GEOMETRIC_CENTER,ChIJo66sLihJzDERxWkFIp0MLnw,"establishment,point_of_interest,shopping_mall",50480,Solaris Parq The Mall[64] (Opening in 2025),1,OK
78,"1, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.165701700000001,101.6531554,ROOFTOP,ChIJz6U4mPFIzDERbNcRkGIp1LI,"establishment,point_of_interest,shopping_mall",50480,1 Mont Kiara[65],1,OK
79,"8, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1664583,101.6523213,ROOFTOP,ChIJZ6ZzKPJIzDER5e9LSMzFTJE,"establishment,point_of_interest,shopping_mall",50480,163 Retail Park[66],1,OK
80,"Taman Ibu Kota LOT G21A, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan, Malaysia",3.2045381,101.7205761,GEOMETRIC_CENTER,ChIJL4BKORI4zDERB8t2wthEFkI,"establishment,point_of_interest,shopping_mall",53300,Setapak Central[67],1,OK
81,"No.6, Jalan Taman Setiawangsa (Jalan, 37/56, AU2 Taman setiawangsa, Taman Keramat, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1782252,101.7504516,ROOFTOP,ChIJp7mMpJ03zDERQFYGwK_Qnbs,"establishment,point_of_interest,shopping_mall",54200,�ON AU2 (Setiawangsa) Shopping Centre[68],1,OK
