locations,lat,lng,weight
"Menara Bandaraya, Jln Perda Utama, Bandar Baru Perda, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.3706542,100.4326128,0.270735021
"Jalan Haji Abdul Wahab, Kampung Bendera, 31000 Batu Gajah, Perak, Malaysia",4.4795786,101.0378802,0.270735021
"Persiaran Bandaraya, Pusat Perdagangan Greentown, 30450 Ipoh, Perak, Malaysia",4.5986484,101.0902996,0.270735021
"Pejabat Majlis Perbandaran Kuala Kangsar, Jalan Raja Chulan, 33000, Kuala Kangsar, Perak, Bandar Baru, 33000 Kuala Kangsar, Perak, Malaysia",4.7724395,100.9411887,0.270735021
"Lenggong, Perak, Malaysia",5.10844,100.968034,0.270735021
"Manjung, Perak, Malaysia",4.4022491,100.7097867,0.270735021
"Manjung, Perak, Malaysia",4.4022491,100.7097867,0.270735021
"33100 Pengkalan Hulu, Perak, Malaysia",5.70644,100.9998371,0.270735021
"Jalan Panglima Bukit Gantang Wahab, 30000 Ipoh, Perak, Malaysia",4.601244,101.076249,0.270735021
"Tanjong Malim, Perak, Malaysia",3.679539,101.52027,0.270735021
"192,, Exit Persiaran Jubli Emas, Pusat Bandar Kangar, 01000 Kangar, Perlis, Malaysia",6.4373461,100.1932361,0.270735021
"Pusat Bandar Kangar, 01564 Kangar, Perlis, Malaysia",6.414203,100.1886838,0.270735021
"Bangunan Sulaiman, Jalan Sultan Hishamuddin, Kampung Attap, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1381376,101.6924781,0.270735021
"8 Lengkok Bahru, Singapore 159052",1.2865637,103.811373,0.270735021
"Bangunan Perdana Putra, Persiaran Sultan Sallahuddin Abdul Aziz Shah, Presint 1, 62502 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9383019,101.6923304,0.270735021
"Bangunan Hal Ehwal Undang-undang, Level 1, Presint 3, 62692 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9176371,101.6822766,0.270735021
"Perbadanan Kemajuan Iktisad Negeri Kelantan, Tkt 8-11, Bangunan PKINK, Jalan Tg, Jalan Tengku Maharani, 15710 Kota Bharu, Kelantan, Malaysia",6.173665,102.146759,0.270735021
"Kompleks LADA, Peti Surat 60, Jalan Persiaran Putra, Kedah, Kuah, 07000 Langkawi, Kedah, Malaysia",6.311278,99.856151,0.270735021
"Bangunan Perdana Putra, Level G, Persiaran Sultan Salahuddin Abdul Aziz Shah, Presint 1, 62502 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9386544,101.6915744,0.270735021
"Aras 2 & 3, Bangunan Hal Ehwal Undang-Undang, Jalan Tun Abdul Razak, Presint 3, 62692, Putrajaya, Presint 3, 62100 Putrajaya, Malaysia",2.9175859,101.6820045,0.270735021
"GTower, Unit 20-11, Jln Tun Razak, Kuala Lumpur, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1587894,101.720102,0.270735021
"Level 9, Menara 1 Dutamas, No. 1, Jln Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1707057,101.6674991,0.270735021
"Istana Kehakiman, Persiaran Perdana, Presint 3, 62506 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9171154,101.6858261,0.270735021
"Block D, Dataran PHB, Saujana Resort, Section U2, Saujana, 40150 Shah Alam, Selangor, Malaysia",3.1082521,101.5825666,0.270735021
"No. 28, Jln Meru Bestari B5, Medan Meru Bestari, 30020 Ipoh, Perak, Malaysia",4.6694726,101.0752779,0.270735021
"301 Jervois Rd, Singapore 249077",1.2941817,103.8248906,0.270735021
"Jabatan Perdana Menteri, Aras 3, Blok Barat, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62520 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9387748,101.6917663,0.270735021
"Presint 2, 62000 Putrajaya, Malaysia",2.9213109,101.6858062,0.270735021
"11th, Menara TH Perdana, Jln Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1598339,101.6962262,0.270735021
"225, 221, Jalan Macalister, George Town, 10450 George Town, Pulau Pinang, Malaysia",5.4213959,100.30418,0.270735021
